,user_id,count,world,user_condition
358,A747E661C498B629,3.0,16,4.0
359,A7DA06FEE4F43BBA,1.0,6,2.0
360,A81DE53F30DC966D,9.0,10,3.0
361,A89E3590B9BC72F2,1.0,2,1.0
362,A8CF7A68AEF86EB2,7.0,5,2.0
363,A9C31F36E3D4A67F,5.0,9,3.0
364,AB5BAE11FEA52C0A,3.0,5,2.0
365,AB6FFBB5836B608D,5.0,14,4.0
366,ABDA8644FB7CA708,1.0,4,1.0
367,AC8DEA3115374E68,10.0,9,3.0
368,AC9DEA1574F595B2,10.0,12,3.0
369,AD66E52BF8EFAC18,4.0,13,4.0
370,AD7046AC3CBB3833,10.0,12,3.0
371,AF2A78FB39542B72,10.0,5,2.0
372,B06FCEEC6702BAF4,10.0,15,4.0
373,B0A225B079353B93,7.0,10,3.0
374,B119DE5483AF29FD,1.0,13,4.0
375,B17584F6A2024EC6,7.0,3,1.0
376,B1E142CA8B5FF81A,2.0,12,3.0
377,B1E976352B3C1542,1.0,4,1.0
378,B1F5E752256B23D9,11.0,12,3.0
379,B229FE6EC67BD6BF,1.0,3,1.0
380,B2E964E517222673,2.0,3,1.0
381,B422326ACED4024E,4.0,15,4.0
382,B43A52358763B563,3.0,2,1.0
383,B454023066E8321F,2.0,13,4.0
384,B45C429D78EEC2EF,1.0,9,3.0
385,B58BEC2B3229F62C,2.0,15,4.0
386,B5B40977CECD1FFB,6.0,15,4.0
387,B61966C2F2E58CB2,1.0,10,3.0
388,B67F5786B3FE26DF,6.0,9,3.0
389,B765A0E66C911F3B,5.0,6,2.0
390,B7CF74BA5A7DA0AC,10.0,6,2.0
391,B7D9940AE8BC6053,10.0,5,2.0
392,B8C1E8082B8BF7A6,2.0,12,3.0
393,B8E4A3C90547C72A,2.0,16,4.0
394,B971BF1CD065A699,1.0,12,3.0
395,B98F975CAB5E2C59,6.0,12,3.0
396,B9B375F45510FE47,1.0,4,1.0
397,B9D26A08DC1A8033,1.0,16,4.0
398,BA2220A51E4992DA,2.0,8,2.0
399,BA2B470809EFDA1B,1.0,1,1.0
400,BA6A0E23767F1F87,2.0,11,3.0
401,BA8FF280EB8BAF74,5.0,4,1.0
402,BB3950A23313633D,5.0,7,2.0
403,BB4FF88E3D57CF70,1.0,10,3.0
404,BBBADC48D687206F,2.0,8,2.0
405,BC5E95024EBD5731,7.0,13,4.0
406,BE06C2F103D05187,1.0,8,2.0
407,BEC584C43DB9F931,2.0,16,4.0
408,BF283D80FC2B2814,10.0,7,2.0
409,C1E4C3A10CB327E1,2.0,8,2.0
410,C2AF1D9CEFBB1F98,1.0,4,1.0
411,C33DA33D39668ABE,8.0,2,1.0
412,C3FA607BB44A7311,10.0,6,2.0
413,C4854CB73BB060F3,4.0,15,4.0
414,C4AE761A45C14022,2.0,12,3.0
415,C4DABF5082ECC8A1,4.0,9,3.0
416,C4FBE8369EA3AC91,6.0,15,4.0
417,C613F3DC4872A4E2,7.0,15,4.0
418,C6470BF5056A1C48,1.0,9,3.0
419,C65D63F5CDB28DAA,1.0,10,3.0
420,C7268F0B202DBE77,1.0,9,3.0
421,C746ED8EBA0753D5,6.0,4,1.0
422,C7BE7BD5F0450F1C,4.0,12,3.0
423,C80AEDDEFFF37151,3.0,3,1.0
424,C825062AE71AA08E,14.0,15,4.0
425,C8328AB3C3A63196,1.0,1,1.0
426,C93B8C10C889DDA8,2.0,2,1.0
427,C99F8A8A1657055D,11.0,14,4.0
428,CA5F4EB7FA435AFE,1.0,2,1.0
429,CB9DD4A284425800,8.0,12,3.0
430,CC209002BE89E08C,4.0,5,2.0
431,CCF950B723A64294,1.0,7,2.0
432,CD1F5D3372F3C4A1,8.0,7,2.0
433,CDB4CFE0A8C65E1E,5.0,9,3.0
434,CDD2867ABC288D0A,3.0,5,2.0
435,CEA16A294C32909B,3.0,16,4.0
436,CEDED271A613EF7B,1.0,14,4.0
437,CF986D902024FBFC,2.0,13,4.0
438,CFAC92833DB455D8,5.0,13,4.0
439,D028FE185747D3F9,10.0,2,1.0
440,D05FE2987E3F1F3C,3.0,5,2.0
441,D0EA3C342B4164E3,2.0,3,1.0
442,D0FCE7E369678A19,1.0,5,2.0
443,D12DF1B03EF053C6,2.0,14,4.0
444,D13FCB990D72CD21,8.0,12,3.0
445,D14DC628C3C07B0F,1.0,8,2.0
446,D1E8076DE447FC31,2.0,11,3.0
447,D20CFA669852BF0E,1.0,1,1.0
448,D2C7C7279B28DA3D,10.0,8,2.0
449,D36E428B520262CF,3.0,11,3.0
450,D3846970B9A9BC80,10.0,11,3.0
451,D41982970E5D3599,7.0,16,4.0
